,New Diag: Specific Learning Disorder with Impairment in Reading,New Diag: Specific Learning Disorder with Impairment in Mathematics,New Diag: Borderline Intellectual Functioning
1,0.7296328247261347,0.7111271367521368,0.8003887792753549
2,0.753371388587938,0.7105876068376068,0.8003887792753549
3,0.76689999398098,0.7260438034188035,0.8392399724969678
4,0.7835649301793668,0.7263643162393162,0.8519897845880523
5,0.804281810521247,0.725892094017094,0.8604710107791387
6,0.804281810521247,0.7485598290598292,0.8661460522045132
7,0.804281810521247,0.7543814102564101,0.8661460522045132
8,0.8056622878295414,0.753426282051282,0.8707925058508004
9,0.8050746809919346,0.7593002136752136,0.8732640205674848
10,0.8125457144576863,0.759451923076923,0.8739698747843319
11,0.8155685265438786,0.7718301282051283,0.8821929824561403
12,0.8188047730829421,0.7741068376068376,0.8870864295597807
13,0.8199783315276272,0.7760897435897436,0.8904863424383743
14,0.8174572649572651,0.7757735042735043,0.8900199866755496
15,0.8222196039484772,0.7788974358974359,0.8920077640547328
16,0.825817503310461,0.7812884615384617,0.8923536018722562
17,0.8261522210184182,0.7850042735042735,0.8922971437844854
18,0.8256586312748284,0.7846816239316239,0.8926125745229676
19,0.8250667509329481,0.7838141025641026,0.893207178120569
20,0.8279282231852655,0.7837606837606838,0.8915633167631836
21,0.8296623630672928,0.7866068376068377,0.890217291036745
22,0.8325833935235345,0.7874508547008547,0.8900081142486206
23,0.8342660105934755,0.7874722222222222,0.8901548540289379
24,0.8351416877332369,0.7891303418803419,0.8906853977690087
25,0.8347965270254001,0.7887008547008547,0.8902030270418011
26,0.8370962441314553,0.7926602564102565,0.8899238114761099
27,0.8370962441314553,0.793474358974359,0.8892035224380328
28,0.8404510051763573,0.7995662393162394,0.8888021233707443
29,0.8437528891296496,0.8000064102564103,0.8885955089769213
30,0.8435448717948718,0.8037841880341882,0.888861143852816
31,0.8443150355122186,0.8024786324786325,0.8887961871572797
32,0.8444083303238232,0.8021111111111111,0.8891976716377117
33,0.8454892560491153,0.8088055555555556,0.8886662737662071
34,0.8462730829420971,0.8109380341880342,0.8875395462853823
35,0.8455800228722765,0.8153055555555555,0.8865611387280274
36,0.8461827073552426,0.8169508547008547,0.886835272211688
37,0.8458023654749007,0.8182649572649574,0.8868420198500144
38,0.8447390152883111,0.8167200854700856,0.8869735987973829
39,0.8446313049235584,0.816826923076923,0.8858247920189959
40,0.844962381124353,0.818094017094017,0.8850901962794036
41,0.8442118695076442,0.818852564102564,0.8850210543398418
42,0.8449559407728422,0.8203782051282051,0.884554698577017
43,0.8453342662814494,0.8202542735042735,0.884430721399409
44,0.8444642470205851,0.8210598290598291,0.8842316660687747
45,0.844083423618635,0.8226666666666667,0.8837685987119699
46,0.8423546707596004,0.8272799145299145,0.8834885717214165
47,0.8422351330203443,0.8273760683760685,0.8830231127965972
48,0.8420762609847117,0.8264444444444443,0.8835645894190197
49,0.8428767906584808,0.8294465811965812,0.8824909035002306
50,0.8427110268448297,0.8293717948717949,0.8834321563402178
